"","P","pm2","Alder","B.Ar","EL.Kar","EL.Kar.Original","O.Karak","O.Karak_num","BLEnergikWh","MatValg","MatValg_num","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","Etasje_num","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer.x","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","Andelsnummer","InternIdBruksenhet","dist_cbd_km","geom"
"1",2280000,3397.91356184799,12,2008,4,"D","Orange",2,186.3,"Tre",4,"Fritt salg","Blokkleilighet",1,"7950.3",1,0,0,0,0,0,8,671,"0.0","671.0","0.0",0,1,1,80,3,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-27 02:00:00,"4627/14/454/1",4627,14,454,"1",23003791,"Rostaliene 54 F","rostaliene",54,"C",NA,"5300","Småhus",2384585,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig",5,154471,8.77,c(-39036.06, 6739596.3)
"2",3890000,28602.9411764706,20,2001,5,"C","Red",1,161.13,"Tre",4,"Fritt salg","Rekkehus/kjede",1,"52296.7",1,0,1,0,0,0,1,136,"0.0","136.0","0.0",0,1,1,136,4,1,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q4",2021-12-10 01:00:00,"4627/14/375/88",4627,14,375,"88",19719073,"Nipefjellet 42","nipefjellet",42,NA,"H0101","5308","Småhus",1559183,"Rekkehus","Bolig","Bolig",9,136272,8.71,c(-39183.26, 6739294.61)
"3",2350000,7912.45791245791,14,2005,4,"D","Red",1,213.48,"Tre",4,"Fritt salg","Blokkleilighet",1,"729.9",0,0,0,0,0,0,3,297,"0.0","297.0","1.0",0,1,1,75,3,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-29 02:00:00,"4624/44/502/3",4624,44,502,"3",21711292,"Halhjemsmarka 196 B","halhjemsmarka",196,"B",NA,"5200","Småhus",869620,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",8,2356612,28.63,c(-29877.25, 6705771.68)
"4",2150000,7239.05723905724,14,2005,4,"D","Red",1,213.48,"Tre",4,"Fritt salg","Blokkleilighet",1,"729.9",0,0,0,0,0,0,3,297,"0.0","297.0","1.0",0,1,1,75,3,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q4",2019-10-02 02:00:00,"4624/44/502/2",4624,44,502,"2",21711292,"Halhjemsmarka 196 B","halhjemsmarka",196,"A",NA,"5200","Småhus",1153502,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig",4,2356610,28.63,c(-29877.25, 6705771.68)
"5",2280000,9702.12765957447,71,1950,2,"F","Red",1,278.86,"Betong",1,"Fritt salg","Blokkleilighet",1,"1229.3",0,0,0,0,0,0,3,235,"0.0","235.0","130.0",0,2,1,83,3,1,1,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q4",2021-10-20 02:00:00,"4627/15/116/3",4627,15,116,"3",13622086,"Rispeleitet 11 A","rispeleitet",11,"B","H0101","5310","Boligblokker",1312522,"Andre småhus m/3 boliger el fl","Bolig","Bolig",5,115117,11.59,c(-40168.99, 6742577.11)
"6",2450000,11085.9728506787,14,2007,4,"D","Red",1,185.4,"Betong",1,"Fritt salg","Tomannsbolig",1,"4067.5",1,1,0,0,0,0,2,221,"0.0","221.0","0.0",0,1,1,79,3,1,1,1,0,1,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2021,"2021Q1",2021-03-09 01:00:00,"4624/36/15/3",4624,36,15,"3",25374649,"Skeisstøa 49 D","skeisstøa",49,"D","U0101","5217","Småhus",284458,"Tomannsbolig, horisontaldelt","Bolig","Bolig",8,2361078,25.42,c(-30819.18, 6708933.65)
"7",3350000,15158.371040724,12,2007,4,"D","Red",1,185.4,"Betong",1,"Fritt salg","Tomannsbolig",1,"4067.5",1,1,0,0,0,0,2,221,"0.0","221.0","0.0",0,1,1,142,6,2,2,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-19 02:00:00,"4624/36/15/4",4624,36,15,"4",25374649,"Skeisstøa 49 D","skeisstøa",49,"C","U0101","5217","Småhus",843586,"Tomannsbolig, horisontaldelt","Bolig","Bolig",12,2361076,25.42,c(-30819.18, 6708933.65)
"8",2220000,23125,14,2005,4,"D","Orange",2,187.28,"Tre",4,"Fritt salg","Tomannsbolig",1,"947.2",0,0,0,0,0,0,1,96,"0.0","96.0","0.0",0,1,1,65,5,2,1,1,0,2,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2019,"2019Q3",2019-07-17 02:00:00,"4631/108/275/2",4631,108,275,"2",23981319,"BAKKEN 17 A","bakken",17,"A","H0101","5955","Småhus",832753,"Tomannsbolig, vertikaldelt","Bolig","Bolig",7,2209979,39.98,c(-35324.14, 6774167.97)
"9",2200000,3111.73974540311,13,2008,4,"D","Red",1,167.61,"Betong",1,"Fritt salg","Blokkleilighet",1,"5820.0",0,0,0,0,0,0,6,707,"0.0","707.0","0.0",0,2,2,77,3,1,1,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2021,"2021Q2",2021-05-14 02:00:00,"4626/8/95/10",4626,8,95,"10",24660745,"Halsvardtjørna 26 C","halsvardtjørna",24,"B","H0301","5357","Boligblokker",572202,"Terrassehus","Bolig","Bolig",7,553001,17.8,c(-49188.67, 6729600.42)
"10",2200000,3111.73974540311,12,2008,4,"D","Red",1,167.61,"Betong",1,"Fritt salg","Blokkleilighet",1,"5820.0",0,0,0,0,0,0,6,707,"0.0","707.0","0.0",0,2,1,77,3,1,1,1,0,2,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q1",2020-03-26 01:00:00,"4626/8/95/9",4626,8,95,"9",24660745,"Halsvardtjørna 26 C","halsvardtjørna",26,"B","H0301","5357","Boligblokker",2273434,"Terrassehus","Bolig","Bolig",5,552989,17.8,c(-49188.67, 6729600.42)
